iter	Passed	Remaining
177	1141	5271
178	1144	5249
179	1151	5243
180	1157	5237
181	1163	5231
182	1170	5225
183	1176	5218
184	1183	5212
185	1190	5208
186	1196	5202
187	1199	5180
188	1203	5162
189	1210	5158
190	1213	5138
191	1219	5131
192	1226	5127
193	1233	5124
194	1240	5119
195	1246	5114
196	1254	5112
197	1260	5107
198	1265	5093
199	1269	5077
200	1275	5071
201	1282	5066
202	1285	5045
203	1291	5039
204	1295	5025
205	1302	5019
206	1304	4996
207	1311	4993
208	1317	4987
209	1324	4981
210	1330	4976
211	1334	4961
212	1341	4956
213	1345	4943
214	1352	4938
215	1354	4917
216	1361	4911
217	1367	4906
218	1373	4899
219	1376	4880
220	1382	4873
221	1386	4860
222	1393	4854
223	1399	4848
224	1402	4831
225	1408	4825
226	1415	4821
227	1423	4818
228	1426	4804
229	1433	4798
230	1439	4793
231	1446	4787
232	1448	4769
233	1453	4757
234	1459	4749
235	1465	4744
236	1467	4725
237	1470	4709
238	1477	4703
239	1479	4685
240	1485	4679
241	1488	4662
242	1494	4656
243	1498	4644
244	1505	4638
245	1511	4633
246	1517	4627
247	1520	4610
248	1522	4592
249	1529	4588
250	1531	4570
251	1534	4554
252	1537	4539
253	1543	4533
254	1550	4529
255	1556	4524
256	1563	4520
257	1566	4505
258	1570	4493
259	1573	4477
260	1575	4462
261	1578	4445
262	1584	4440
263	1588	4428
264	1591	4414
265	1594	4399
266	1600	4394
267	1607	4391
268	1610	4376
269	1616	4371
270	1619	4356
271	1621	4341
272	1624	4325
273	1626	4310
274	1629	4295
275	1635	4289
276	1638	4277
277	1641	4263
278	1644	4250
279	1648	4239
280	1651	4224
281	1657	4219
282	1663	4214
283	1667	4203
284	1670	4190
285	1672	4176
286	1676	4165
287	1679	4151
288	1683	4140
289	1687	4130
290	1689	4115
291	1691	4102
292	1694	4089
293	1697	4075
294	1700	4063
295	1702	4049
296	1704	4034
297	1707	4022
298	1710	4009
299	1713	3997
300	1716	3986
301	1723	3984
302	1726	3970
303	1729	3959
304	1731	3945
305	1737	3941
306	1746	3942
307	1752	3937
308	1756	3927
309	1761	3920
310	1768	3917
311	1772	3909
312	1776	3898
313	1778	3885
314	1785	3881
315	1788	3870
316	1796	3871
317	1800	3861
318	1820	3887
319	1823	3875
320	1829	3869
321	1838	3871
322	1847	3872
323	1854	3868
324	1863	3869
325	1868	3862
326	1872	3853
327	1880	3852
328	1884	3843
329	1892	3843
330	1901	3843
331	1905	3833
332	1912	3831
333	1916	3820
334	1919	3811
335	1923	3801
336	1932	3801
337	1935	3791
338	1938	3780
339	1946	3778
340	1949	3767
341	1953	3758
342	1958	3750
343	1967	3751
344	1974	3749
345	1981	3744
346	1984	3735
347	1992	3733
348	1997	3725
349	2002	3718
350	2007	3712
351	2011	3702
352	2017	3697
353	2019	3685
354	2023	3677
355	2026	3665
356	2030	3656
357	2032	3644
358	2036	3636
359	2039	3626
360	2046	3623
361	2048	3610
362	2055	3606
363	2057	3594
364	2063	3590
365	2065	3578
366	2068	3567
367	2071	3557
368	2074	3546
369	2080	3543
370	2087	3538
371	2091	3530
372	2093	3518
373	2096	3508
374	2098	3497
375	2104	3493
376	2106	3481
377	2113	3477
378	2117	3469
379	2119	3458
380	2123	3450
381	2127	3441
382	2130	3432
383	2134	3423
384	2137	3414
385	2141	3406
386	2147	3401
387	2153	3396
388	2156	3386
389	2159	3377
390	2165	3372
391	2172	3368
392	2174	3358
393	2178	3350
394	2180	3340
395	2183	3330
396	2187	3321
397	2189	3311
398	2191	3300
399	2193	3290
400	2199	3286
401	2202	3276
402	2208	3272
403	2211	3261
404	2217	3257
405	2223	3253
406	2229	3248
407	2232	3239
408	2238	3235
409	2245	3230
410	2251	3227
411	2254	3217
412	2256	3206
413	2262	3202
414	2268	3198
415	2274	3193
416	2276	3183
417	2283	3179
